Unnamed: 0,date,lat,lon,panoID,probability ,wall,building,sky,greenery,terrain type ,vehicles,path ,person,fence,signboard,pole,bicycle
820,2022-05,44.53181321091446,11.35072716804654,7gRIPaJGGQ-X28UHDdtCcw,0.467842293,1.02,30.41,14.33,21.75,0,2.82,27.23,0.01,2.07,0.02,0.01,0
821,2023-09,44.52724591516863,11.35357908528391,NMyX6xZ0bh104oDsjs2_Ow,0.467945518,0,0,0,0,0,0,0,0,0,0,0,0
822,2023-10,44.53040278626074,11.34348688655928,kBcrkxBaPU-W0OKKsFMlkQ,0.507602721,7.38,4.73,37.82,2.39,0.01,7.52,25.16,0,14.24,0.14,0.18,0
823,2023-10,44.52597349159894,11.34662972768452,w1ksYgdUNzP9L-na0zrG5g,0.506833197,3.76,19.89,7.73,33.74,0.19,2.89,19.93,0,3.19,0.08,0,0
824,2023-03,44.56118022498444,11.35087899157123,Ch18aap-UPE4lZVXcdJWLg,0.354576174,0,1.28,42.17,26.57,0.01,0.18,29.42,0,0.03,0.17,0,0
825,2015-05,44.49064972,11.30542249841327,9lyIoTRZt2lZd7PQWWbb0A,0.816938892,0.23,56.08,6.84,8.95,0,0.83,7.01,0,16.98,0.1,0,0
826,2023-06,44.49297386233324,11.30410076530726,JNLKZlbceLhrRk2riIQ1KA,0.819675098,0.71,32.25,16.61,8.79,0,13.69,23.35,1.84,0.04,0,0,0.02
827,2022-03,44.48827693950982,11.24319826991196,timGfzUUOpTRl9w0MhiLIQ,0.804113535,0.05,5.16,43.06,7.45,0.18,0.66,38.24,0,1.56,0.21,0.06,0
828,2023-09,44.51098013809767,11.38041972752653,HbkyzRwfJuXkckx4tC7uog,0.359191121,5.5,0.81,35.43,11.07,0.31,1.16,36.6,0,5.71,0.13,0,0
829,2022-04,44.50801427,11.38864878356094,mfi73DOhsnNt1k3lnAiO1w,0.31660879,0,7.77,19.08,43.15,0,0.46,28.32,0,0.36,0.71,0,0
830,2022-03,44.50951860048151,11.39334901,wAoDzoy6t_BDCrWEZZ4FUw,0.287618041,0,0,0,0,0,0,0,0,0,0,0,0
831,2022-03,44.50985022123099,11.39853380840047,8yPcBkzTcEPA756lTutAZA,0.257431429,0.03,38.61,5.58,26.16,0,17.66,11.26,0,0.1,0.2,0.02,0
832,2022-03,44.51158775991222,11.40213733749594,ircP9Krz3SyCEYd-4ycopw,0.2344219,0.22,9.62,27.78,30.82,0.56,1.93,27.53,0,1.16,0.26,0.05,0
833,2022-03,44.51067791967925,11.39605766176216,2c_rqeUBmHVhenMTa1Ncug,0.270503593,0,0,0,0,0,0,0,0,0,0,0,0
834,2023-08,44.51010010365857,11.36125419958407,L3vbEePqAF4vL55r0upeUA,0.468664688,1.58,1.93,12.83,42.62,0,2.49,35.34,0,0.28,0.7,0.19,0
835,2023-08,44.51269458762871,11.35798040406486,DstOM2o2EbpO6s_6ZJoBVw,0.481692183,0,0,0,0,0,0,0,0,0,0,0,0
836,2023-07,44.45135906744617,11.29639596641389,4W9_JFEVbrdjjTvhxXSQqQ,0.784860369,0,0,0,0,0,0,0,0,0,0,0,0
837,2023-07,44.44505202081583,11.29744668346966,mXZ31Sar2EOj-tc7DtCpBQ,0.750207229,0.18,0,2.75,79.89,0,0,11.05,0,0.88,0,0,0
838,2023-07,44.44220925732913,11.30332660242636,E8Z809c01MOtHRJSYESTVw,0.717287124,0.42,3.49,20.95,54.18,0.11,0,11.15,0,0.45,0.01,0,0
839,2023-07,44.52405860774179,11.34497966451341,XcMdPE1aHPBifsKVxx_jbg,0.521045983,0,0,0,0,0,0,0,0,0,0,0,0
840,2022-04,44.52102790030577,11.24225632,lF09_DKolFmacANmyOd1xQ,0.694635834,0,0,0,0,0,0,0,0,0,0,0,0
841,2022-04,44.52672243420948,11.24315886722103,TzwGbaB7zDZFT6WiSVOohA,0.671452403,0,0.22,45.69,24.2,7.42,0.02,21.8,0,0.35,0.12,0,0
842,2022-03,44.51748918276586,11.24444010477514,jYJgyaOYkAvQDAD5ATTnSQ,0.718839334,0.14,0.15,46.25,23.25,20.13,0.01,8.71,0,0.41,0,0.8,0
843,2022-03,44.51445103347309,11.23944614,5xf4PRuaTu5vdo4gNTAsyQ,0.71104976,0.91,0.06,35.9,48.63,0.47,0,12.16,0,0.59,0,0,0
844,2023-08,44.50626228,11.23398076761053,HFnncxCxMazAdozS5laxZQ,0.713857549,0,1.25,16.71,58.33,0.04,1.02,18.94,0,3.58,0,0,0
845,2023-08,44.50959384712174,11.23623069511771,3BCgSZAZseXu9SqthKOXJA,0.714255151,0,0.49,34.19,51.6,0.55,0,12.97,0,0,0,0,0
